tentinh,wb_poverty,count,tax_amount
Hưng Yên,lower-middle,9637.666666666666,0
Hưng Yên,normal,1345929.5333333334,0
Hưng Yên,upper-middle,39612.666666666664,0
Hải Dương,lower-middle,14265.666666666666,0
Hải Dương,normal,2106800.3333333335,0
Hải Dương,upper-middle,41341,0
Hải Phòng,lower-middle,11212.333333333332,0
Hải Phòng,normal,1976809.2,0
Hải Phòng,upper-middle,40720.46666666667,0
Hậu Giang,extreme poverty,1903.1999999999998,0
Hậu Giang,lower-middle,9015.666666666666,0
Hậu Giang,normal,626066.4666666667,0
Hậu Giang,upper-middle,21112.666666666664,0
Hồ Chí Minh,normal,8794113,0
Khánh Hòa,normal,1192853,0
Kiên Giang,lower-middle,3613.2,0
Kiên Giang,normal,1733816.9333333333,0
Kiên Giang,upper-middle,31023.86666666667,0
Kon Tum,extreme poverty,2818.5333333333333,0
Kon Tum,lower-middle,16878.733333333334,0
Kon Tum,normal,491426.5333333333,0
Kon Tum,upper-middle,42212.2,0
Lai Châu,extreme poverty,2879.133333333333,0
Lai Châu,lower-middle,14866.866666666667,0
Lai Châu,normal,378787.13333333336,0
Lai Châu,upper-middle,76896.86666666667,0
Long An,lower-middle,4317.733333333334,0
Long An,normal,1649210.4,0
Long An,upper-middle,20333.86666666667,0
Lào Cai,extreme poverty,3422,0
Lào Cai,lower-middle,7141.466666666667,0
Lào Cai,normal,673682.4,0
Lào Cai,upper-middle,69780.13333333333,0
Lâm Đồng,normal,1251760.7333333334,0
Lâm Đồng,upper-middle,51300.26666666667,0
Lạng Sơn,extreme poverty,2729.866666666667,0
Lạng Sơn,lower-middle,6522.866666666667,0
Lạng Sơn,normal,617139.0666666667,0
Lạng Sơn,upper-middle,92386.2,0
Nam Định,lower-middle,1988.1333333333334,0
Nam Định,normal,1724177.9333333333,0
Nam Định,upper-middle,55557.933333333334,0
Nghệ An,extreme poverty,1951.2,0
Nghệ An,lower-middle,30978.066666666666,0
Nghệ An,normal,2800267.466666667,0
Nghệ An,upper-middle,181667.26666666666,0
Ninh Bình,lower-middle,3907.133333333333,0
Ninh Bình,normal,970689.9333333333,0
Ninh Bình,upper-middle,27328.933333333334,0
Ninh Thuận,extreme poverty,4426.666666666667,0
Ninh Thuận,lower-middle,13631.933333333332,0
Ninh Thuận,normal,560919.5333333333,0
Ninh Thuận,upper-middle,38038.86666666667,0
Phú Thọ,lower-middle,17191,0
Phú Thọ,normal,1427719.1333333333,0
Phú Thọ,upper-middle,80122.86666666667,0
Phú Yên,extreme poverty,1967.4,0
Phú Yên,lower-middle,7967.866666666667,0
Phú Yên,normal,820518.1333333333,0
Phú Yên,upper-middle,29686.6,0
Quảng Bình,extreme poverty,10047.2,0
Quảng Bình,lower-middle,21638.733333333334,0
Quảng Bình,normal,760645.3333333334,0
Quảng Bình,upper-middle,25231.733333333334,0
Quảng Nam,lower-middle,2116.133333333333,0
Quảng Nam,normal,1421829.3333333333,0
Quảng Nam,upper-middle,60695.53333333333,0
Quảng Ngãi,extreme poverty,1992.5333333333333,0
Quảng Ngãi,lower-middle,11058.666666666668,0
Quảng Ngãi,normal,1093773.7333333334,0
Quảng Ngãi,upper-middle,85741.06666666667,0
Quảng Ninh,extreme poverty,2359.8,0
Quảng Ninh,lower-middle,10715.933333333334,0
Quảng Ninh,normal,1332943.2666666666,0
Quảng Ninh,upper-middle,9366,0
Quảng Trị,extreme poverty,1010.5333333333333,0
Quảng Trị,lower-middle,7390.066666666667,0
Quảng Trị,normal,626886.2,0
Quảng Trị,upper-middle,31271.2,0
Sóc Trăng,lower-middle,5547.6,0
Sóc Trăng,normal,1069136.3333333333,0
Sóc Trăng,upper-middle,38013.066666666666,0
Sơn La,extreme poverty,30193.6,0
Sơn La,lower-middle,38723.933333333334,0
Sơn La,normal,973232.3333333334,0
Sơn La,upper-middle,212856.13333333333,0
Thanh Hóa,normal,3557610,0
Thái Bình,normal,1611898.2,0
Thái Bình,upper-middle,16338.8,0
Thái Nguyên,normal,1269034.2,0
Thái Nguyên,upper-middle,23973.8,0
Thừa Thiên Huế,extreme poverty,2573.0666666666666,0
Thừa Thiên Huế,lower-middle,5729.4,0
Thừa Thiên Huế,normal,1094081.2666666666,0
Thừa Thiên Huế,upper-middle,35391.26666666666,0
Tiền Giang,extreme poverty,3950.8,0
Tiền Giang,lower-middle,2324,0
Tiền Giang,normal,1698854.5333333334,0
Tiền Giang,upper-middle,58827.666666666664,0
Trà Vinh,extreme poverty,5096.866666666667,0
Trà Vinh,lower-middle,1904,0
Trà Vinh,normal,927397,0
Trà Vinh,upper-middle,41240.13333333333,0
Tuyên Quang,extreme poverty,1752.4,0
Tuyên Quang,lower-middle,11572,0
Tuyên Quang,normal,740192,0
Tuyên Quang,upper-middle,51005.6,0
Tây Ninh,normal,1118433.5333333334,0
Tây Ninh,upper-middle,11075.466666666667,0
Vĩnh Long,lower-middle,3341.0666666666666,0
Vĩnh Long,normal,1021783.0666666667,0
Vĩnh Long,upper-middle,46635.86666666667,0
Vĩnh Phúc,lower-middle,4994.133333333333,0
Vĩnh Phúc,normal,1178135.5333333334,0
Vĩnh Phúc,upper-middle,23464.333333333332,0
Yên Bái,extreme poverty,969,0
Yên Bái,lower-middle,3368,0
Yên Bái,normal,804759.5333333333,0
Yên Bái,upper-middle,64538.46666666667,0
Điện Biên,extreme poverty,2654.4,0
Điện Biên,lower-middle,10729.066666666668,0
Điện Biên,normal,446260.8666666667,0
Điện Biên,upper-middle,150061.66666666666,0
Đà Nẵng,normal,1190414,0
Đắk Lắk,lower-middle,19482.399999999998,0
Đắk Lắk,normal,1675067.0666666667,0
Đắk Lắk,upper-middle,151896.53333333333,0
Đắk Nông,extreme poverty,1905.2,0
Đắk Nông,lower-middle,9070.733333333334,0
Đắk Nông,normal,604124.1333333333,0
Đắk Nông,upper-middle,43488.933333333334,0
Đồng Nai,lower-middle,2499.2,0
Đồng Nai,normal,3027634.0666666664,0
Đồng Nai,upper-middle,10701.733333333334,0
Đồng Tháp,lower-middle,1819,0
Đồng Tháp,normal,1536364.8,0
Đồng Tháp,upper-middle,8033.2,0
An Giang,normal,1881594.8666666667,1000
An Giang,upper-middle,17107.133333333335,1000
Bà Rịa - Vũng Tàu,lower-middle,4204,1000
Bà Rịa - Vũng Tàu,normal,1129372.3333333333,1000
Bà Rịa - Vũng Tàu,upper-middle,20082.666666666668,1000
Bình Dương,normal,2817521,1000
Bình Phước,extreme poverty,1697.6666666666667,1000
Bình Phước,lower-middle,2342,1000
Bình Phước,normal,996497.2,1000
Bình Phước,upper-middle,8571.133333333333,1000
Bình Thuận,normal,1223288,1000
Bình Định,extreme poverty,9604,1000
Bình Định,lower-middle,14739.4,1000
Bình Định,normal,1366519.7333333334,1000
Bình Định,upper-middle,90995.86666666667,1000
Bạc Liêu,lower-middle,5786.4,1000
Bạc Liêu,normal,870865.4666666667,1000
Bạc Liêu,upper-middle,14864.133333333333,1000
Bắc Giang,lower-middle,2165.3333333333335,1000
Bắc Giang,normal,1731836.8,1000
Bắc Giang,upper-middle,40149.86666666667,1000
Bắc Kạn,extreme poverty,8173.2,1000
Bắc Kạn,lower-middle,29473.066666666666,1000
Bắc Kạn,normal,218122.73333333334,1000
Bắc Kạn,upper-middle,56589,1000
Bắc Ninh,extreme poverty,2296,1000
Bắc Ninh,normal,1523848,1000
Bắc Ninh,upper-middle,28097,1000
Bến Tre,lower-middle,7152.2,1000
Bến Tre,normal,1118493.8,1000
Bến Tre,upper-middle,74006,1000
Cao Bằng,extreme poverty,10240,1000
Cao Bằng,lower-middle,27071.86666666667,1000
Cao Bằng,normal,399396.93333333335,1000
Cao Bằng,upper-middle,96505.2,1000
Cà Mau,lower-middle,7462.933333333333,1000
Cà Mau,normal,1052932.5333333334,1000
Cà Mau,upper-middle,87610.53333333334,1000
Cần Thơ,extreme poverty,1632,1000
Cần Thơ,normal,1431387.7333333334,1000
Cần Thơ,upper-middle,15626.266666666666,1000
Gia Lai,extreme poverty,16142,1000
Gia Lai,lower-middle,35480,1000
Gia Lai,normal,1381302.1333333333,1000
Gia Lai,upper-middle,178531.86666666667,1000
Hoà Bình,lower-middle,4491.266666666666,1000
Hoà Bình,normal,781564.6,1000
Hoà Bình,upper-middle,52387.13333333333,1000
Hà Giang,extreme poverty,7880.666666666666,1000
Hà Giang,lower-middle,36378,1000
Hà Giang,normal,688599.1333333333,1000
Hà Giang,upper-middle,150624.19999999998,1000
Hà Nam,extreme poverty,1143.8666666666666,1000
Hà Nam,lower-middle,3887.6,1000
Hà Nam,normal,821753.5333333333,1000
Hà Nam,upper-middle,12531,1000
Hà Nội,lower-middle,4152,1000
Hà Nội,normal,8621818.933333334,1000
Hà Nội,upper-middle,80464.06666666667,1000
Hà Tĩnh,extreme poverty,1628.4,1000
Hà Tĩnh,lower-middle,14838.933333333334,1000
Hà Tĩnh,normal,1149738.0666666667,1000
Hà Tĩnh,upper-middle,94888.6,1000
Hưng Yên,extreme poverty,4002.133333333333,1000
Hưng Yên,lower-middle,13510.4,1000
Hưng Yên,normal,1345929.5333333334,1000
Hưng Yên,upper-middle,35739.933333333334,1000
Hải Dương,extreme poverty,3704,1000
Hải Dương,lower-middle,10561.666666666666,1000
Hải Dương,normal,2101800.8666666667,1000
Hải Dương,upper-middle,46340.46666666667,1000
Hải Phòng,extreme poverty,2041.8,1000
Hải Phòng,lower-middle,9170.533333333333,1000
Hải Phòng,normal,1976809.2,1000
Hải Phòng,upper-middle,40720.46666666667,1000
Hậu Giang,extreme poverty,1903.1999999999998,1000
Hậu Giang,lower-middle,9812.733333333334,1000
Hậu Giang,normal,622999.4666666667,1000
Hậu Giang,upper-middle,23382.6,1000
Hồ Chí Minh,normal,8794113,1000
Khánh Hòa,normal,1192853,1000
Kiên Giang,lower-middle,3613.2,1000
Kiên Giang,normal,1732155.9333333333,1000
Kiên Giang,upper-middle,32684.86666666667,1000
Kon Tum,extreme poverty,5951.5999999999995,1000
Kon Tum,lower-middle,14663.6,1000
Kon Tum,normal,485942.13333333336,1000
Kon Tum,upper-middle,46778.666666666664,1000
Lai Châu,extreme poverty,2879.133333333333,1000
Lai Châu,lower-middle,19876.8,1000
Lai Châu,normal,370389.13333333336,1000
Lai Châu,upper-middle,80284.93333333333,1000
Long An,extreme poverty,1688.4,1000
Long An,lower-middle,2629.3333333333335,1000
Long An,normal,1643945.7333333334,1000
Long An,upper-middle,25598.533333333333,1000
Lào Cai,extreme poverty,3422,1000
Lào Cai,lower-middle,9394.266666666666,1000
Lào Cai,normal,668604.4,1000
Lào Cai,upper-middle,72605.33333333333,1000
Lâm Đồng,lower-middle,3147.4666666666667,1000
Lâm Đồng,normal,1250218.8666666667,1000
Lâm Đồng,upper-middle,49694.666666666664,1000
Lạng Sơn,extreme poverty,4002,1000
Lạng Sơn,lower-middle,9276.133333333333,1000
Lạng Sơn,normal,613622.2666666667,1000
Lạng Sơn,upper-middle,91877.6,1000
Nam Định,extreme poverty,1988.1333333333334,1000
Nam Định,normal,1715265.1333333333,1000
Nam Định,upper-middle,64470.73333333334,1000
Nghệ An,extreme poverty,1951.2,1000
Nghệ An,lower-middle,33673.666666666664,1000
Nghệ An,normal,2791869.6,1000
Nghệ An,upper-middle,187369.53333333333,1000
Ninh Bình,lower-middle,3907.133333333333,1000
Ninh Bình,normal,970689.9333333333,1000
Ninh Bình,upper-middle,27328.933333333334,1000
Ninh Thuận,extreme poverty,4426.666666666667,1000
Ninh Thuận,lower-middle,15611.333333333332,1000
Ninh Thuận,normal,555146.0666666667,1000
Ninh Thuận,upper-middle,41832.933333333334,1000
Phú Thọ,lower-middle,17191,1000
Phú Thọ,normal,1420689.6,1000
Phú Thọ,upper-middle,87152.4,1000
Phú Yên,extreme poverty,1967.4,1000
Phú Yên,lower-middle,10788.666666666666,1000
Phú Yên,normal,814758.0666666667,1000
Phú Yên,upper-middle,32625.86666666667,1000
Quảng Bình,extreme poverty,11704.666666666666,1000
Quảng Bình,lower-middle,21743.4,1000
Quảng Bình,normal,756389.7333333333,1000
Quảng Bình,upper-middle,27725.2,1000
Quảng Nam,lower-middle,6299.4,1000
Quảng Nam,normal,1418479,1000
Quảng Nam,upper-middle,59862.6,1000
Quảng Ngãi,extreme poverty,3576.5333333333333,1000
Quảng Ngãi,lower-middle,11542.933333333334,1000
Quảng Ngãi,normal,1091275.3333333333,1000
Quảng Ngãi,upper-middle,86171.2,1000
Quảng Ninh,extreme poverty,3752.3333333333335,1000
Quảng Ninh,lower-middle,9323.400000000001,1000
Quảng Ninh,normal,1332943.2666666666,1000
Quảng Ninh,upper-middle,9366,1000
Quảng Trị,extreme poverty,1010.5333333333333,1000
Quảng Trị,lower-middle,8630.066666666666,1000
Quảng Trị,normal,623570.3333333334,1000
Quảng Trị,upper-middle,33347.066666666666,1000
Sóc Trăng,lower-middle,5547.6,1000
Sóc Trăng,normal,1064062.6,1000
Sóc Trăng,upper-middle,43086.8,1000
Sơn La,extreme poverty,36741.066666666666,1000
Sơn La,lower-middle,42400.13333333333,1000
Sơn La,normal,966978.6,1000
Sơn La,upper-middle,208886.2,1000
Thanh Hóa,normal,3557610,1000
Thái Bình,normal,1606085.4666666666,1000
Thái Bình,upper-middle,22151.533333333333,1000
Thái Nguyên,normal,1262889.8666666667,1000
Thái Nguyên,upper-middle,30118.13333333333,1000
Thừa Thiên Huế,extreme poverty,2573.0666666666666,1000
Thừa Thiên Huế,lower-middle,6816.2,1000
Thừa Thiên Huế,normal,1089064.4666666668,1000
Thừa Thiên Huế,upper-middle,39321.26666666667,1000
Tiền Giang,extreme poverty,3950.8,1000
Tiền Giang,lower-middle,4628.533333333333,1000
Tiền Giang,normal,1693974.2666666666,1000
Tiền Giang,upper-middle,61403.4,1000
Trà Vinh,extreme poverty,5096.866666666667,1000
Trà Vinh,lower-middle,1904,1000
Trà Vinh,normal,922250.8666666667,1000
Trà Vinh,upper-middle,46386.26666666667,1000
Tuyên Quang,extreme poverty,1752.4,1000
Tuyên Quang,lower-middle,12927.2,1000
Tuyên Quang,normal,740192,1000
Tuyên Quang,upper-middle,49650.4,1000
Tây Ninh,normal,1118433.5333333334,1000
Tây Ninh,upper-middle,11075.466666666667,1000
Vĩnh Long,lower-middle,5035.066666666667,1000
Vĩnh Long,normal,1018519.8666666667,1000
Vĩnh Long,upper-middle,48205.066666666666,1000
Vĩnh Phúc,lower-middle,6701.2,1000
Vĩnh Phúc,normal,1174429.5333333334,1000
Vĩnh Phúc,upper-middle,25463.266666666666,1000
Yên Bái,extreme poverty,969,1000
Yên Bái,lower-middle,3368,1000
Yên Bái,normal,798698.0666666667,1000
Yên Bái,upper-middle,70599.93333333333,1000
Điện Biên,extreme poverty,3744.6000000000004,1000
Điện Biên,lower-middle,15237.8,1000
Điện Biên,normal,436817.8,1000
Điện Biên,upper-middle,153905.8,1000
Đà Nẵng,normal,1190414,1000
Đắk Lắk,extreme poverty,1740,1000
Đắk Lắk,lower-middle,22592.066666666666,1000
Đắk Lắk,normal,1638748.2666666666,1000
Đắk Lắk,upper-middle,183365.66666666666,1000
Đắk Nông,extreme poverty,1905.2,1000
Đắk Nông,lower-middle,11685,1000
Đắk Nông,normal,599287.8666666667,1000
Đắk Nông,upper-middle,45710.933333333334,1000
Đồng Nai,lower-middle,2499.2,1000
Đồng Nai,normal,3027634.0666666664,1000
Đồng Nai,upper-middle,10701.733333333334,1000
Đồng Tháp,lower-middle,1819,1000
Đồng Tháp,normal,1534092.8,1000
Đồng Tháp,upper-middle,10305.199999999999,1000
An Giang,normal,1879944.7333333334,2000
An Giang,upper-middle,18757.266666666666,2000
Bà Rịa - Vũng Tàu,lower-middle,4204,2000
Bà Rịa - Vũng Tàu,normal,1129372.3333333333,2000
Bà Rịa - Vũng Tàu,upper-middle,20082.666666666668,2000
Bình Dương,normal,2814091.1333333333,2000
Bình Dương,upper-middle,3429.866666666667,2000
Bình Phước,extreme poverty,1697.6666666666667,2000
Bình Phước,lower-middle,2342,2000
Bình Phước,normal,994868.8,2000
Bình Phước,upper-middle,10199.533333333333,2000
Bình Thuận,normal,1223288,2000
Bình Định,extreme poverty,9604,2000
Bình Định,lower-middle,21530.266666666666,2000
Bình Định,normal,1362501.8,2000
Bình Định,upper-middle,88222.93333333333,2000
Bạc Liêu,lower-middle,5786.4,2000
Bạc Liêu,normal,868260.2666666667,2000
Bạc Liêu,upper-middle,17469.333333333332,2000
Bắc Giang,lower-middle,3988.666666666667,2000
Bắc Giang,normal,1730013.4666666668,2000
Bắc Giang,upper-middle,40149.86666666667,2000
Bắc Kạn,extreme poverty,9624.666666666666,2000
Bắc Kạn,lower-middle,30694.933333333334,2000
Bắc Kạn,normal,216491.93333333335,2000
Bắc Kạn,upper-middle,55546.46666666667,2000
Bắc Ninh,extreme poverty,2296,2000
Bắc Ninh,lower-middle,4583.333333333333,2000
Bắc Ninh,normal,1523848,2000
Bắc Ninh,upper-middle,23513.666666666664,2000
Bến Tre,extreme poverty,2491.8,2000
Bến Tre,lower-middle,7261,2000
Bến Tre,normal,1111064.9333333333,2000
Bến Tre,upper-middle,78834.26666666666,2000
Cao Bằng,extreme poverty,12028.666666666666,2000
Cao Bằng,lower-middle,31669.266666666666,2000
Cao Bằng,normal,395541.6666666667,2000
Cao Bằng,upper-middle,93974.4,2000
Cà Mau,lower-middle,7462.933333333333,2000
Cà Mau,normal,1047633.5333333333,2000
Cà Mau,upper-middle,92909.53333333334,2000
Cần Thơ,extreme poverty,1632,2000
Cần Thơ,normal,1431387.7333333334,2000
Cần Thơ,upper-middle,15626.266666666666,2000
Gia Lai,extreme poverty,16142,2000
Gia Lai,lower-middle,35480,2000
Gia Lai,normal,1378322.4,2000
Gia Lai,upper-middle,181511.6,2000
Hoà Bình,extreme poverty,3592.5333333333333,2000
Hoà Bình,lower-middle,7523.8,2000
Hoà Bình,normal,779726.4,2000
Hoà Bình,upper-middle,47600.26666666667,2000
Hà Giang,extreme poverty,9072.333333333332,2000
Hà Giang,lower-middle,43060.4,2000
Hà Giang,normal,672802.6,2000
Hà Giang,upper-middle,158546.66666666666,2000
Hà Nam,extreme poverty,1143.8666666666666,2000
Hà Nam,lower-middle,3887.6,2000
Hà Nam,normal,814931.9333333333,2000
Hà Nam,upper-middle,19352.6,2000
Hà Nội,lower-middle,12611.2,2000
Hà Nội,normal,8608610.333333334,2000
Hà Nội,upper-middle,85213.46666666666,2000
Hà Tĩnh,extreme poverty,1628.4,2000
Hà Tĩnh,lower-middle,14838.933333333334,2000
Hà Tĩnh,normal,1140563.2,2000
Hà Tĩnh,upper-middle,104063.46666666667,2000
Hưng Yên,extreme poverty,6636.533333333333,2000
Hưng Yên,lower-middle,10876,2000
Hưng Yên,normal,1345929.5333333334,2000
Hưng Yên,upper-middle,35739.933333333334,2000
Hải Dương,extreme poverty,7104.333333333333,2000
Hải Dương,lower-middle,8660.6,2000
Hải Dương,normal,2100069.6666666665,2000
Hải Dương,upper-middle,46572.4,2000
Hải Phòng,extreme poverty,2041.8,2000
Hải Phòng,lower-middle,18050.2,2000
Hải Phòng,normal,1975177.2,2000
Hải Phòng,upper-middle,33472.8,2000
Hậu Giang,extreme poverty,1903.1999999999998,2000
Hậu Giang,lower-middle,10740.4,2000
Hậu Giang,normal,620789.0666666667,2000
Hậu Giang,upper-middle,24665.333333333332,2000
Hồ Chí Minh,normal,8794113,2000
Khánh Hòa,normal,1192853,2000
Kiên Giang,lower-middle,3613.2,2000
Kiên Giang,normal,1730163.2666666666,2000
Kiên Giang,upper-middle,34677.53333333333,2000
Kon Tum,extreme poverty,5951.5999999999995,2000
Kon Tum,lower-middle,16564.2,2000
Kon Tum,normal,481225.26666666666,2000
Kon Tum,upper-middle,49594.933333333334,2000
Lai Châu,extreme poverty,2879.133333333333,2000
Lai Châu,lower-middle,21817.333333333332,2000
Lai Châu,normal,361487.3333333333,2000
Lai Châu,upper-middle,87246.2,2000
Long An,extreme poverty,1688.4,2000
Long An,lower-middle,2629.3333333333335,2000
Long An,normal,1643945.7333333334,2000
Long An,upper-middle,25598.533333333333,2000
Lào Cai,extreme poverty,3422,2000
Lào Cai,lower-middle,14611.066666666668,2000
Lào Cai,normal,663702.5333333333,2000
Lào Cai,upper-middle,72290.40000000001,2000
Lâm Đồng,lower-middle,4872.666666666667,2000
Lâm Đồng,normal,1248302.8666666667,2000
Lâm Đồng,upper-middle,49885.46666666667,2000
Lạng Sơn,extreme poverty,5489.4000000000005,2000
Lạng Sơn,lower-middle,9832.333333333334,2000
Lạng Sơn,normal,605995.6,2000
Lạng Sơn,upper-middle,97460.66666666667,2000
Nam Định,extreme poverty,1988.1333333333334,2000
Nam Định,normal,1703238.8666666667,2000
Nam Định,upper-middle,76497,2000
Nghệ An,extreme poverty,1951.2,2000
Nghệ An,lower-middle,37537.666666666664,2000
Nghệ An,normal,2789979.6,2000
Nghệ An,upper-middle,185395.53333333333,2000
Ninh Bình,lower-middle,5729,2000
Ninh Bình,normal,968735.6,2000
Ninh Bình,upper-middle,27461.399999999998,2000
Ninh Thuận,extreme poverty,7436.8,2000
Ninh Thuận,lower-middle,12601.2,2000
Ninh Thuận,normal,553795.9333333333,2000
Ninh Thuận,upper-middle,43183.066666666666,2000
Phú Thọ,extreme poverty,1698.2666666666667,2000
Phú Thọ,lower-middle,28069.13333333333,2000
Phú Thọ,normal,1418961.6,2000
Phú Thọ,upper-middle,76304,2000
Phú Yên,extreme poverty,3182.4,2000
Phú Yên,lower-middle,10788.666666666666,2000
Phú Yên,normal,813234.6,2000
Phú Yên,upper-middle,32934.333333333336,2000
Quảng Bình,extreme poverty,18334.533333333333,2000
Quảng Bình,lower-middle,15113.533333333333,2000
Quảng Bình,normal,754717.7333333333,2000
Quảng Bình,upper-middle,29397.2,2000
Quảng Nam,lower-middle,10743.666666666666,2000
Quảng Nam,normal,1412483.8666666667,2000
Quảng Nam,upper-middle,61413.46666666667,2000
Quảng Ngãi,extreme poverty,3576.5333333333333,2000
Quảng Ngãi,lower-middle,14097.6,2000
Quảng Ngãi,normal,1089725.3333333333,2000
Quảng Ngãi,upper-middle,85166.53333333334,2000
Quảng Ninh,extreme poverty,3752.3333333333335,2000
Quảng Ninh,lower-middle,9323.400000000001,2000
Quảng Ninh,normal,1332943.2666666666,2000
Quảng Ninh,upper-middle,9366,2000
Quảng Trị,extreme poverty,1931.7333333333333,2000
Quảng Trị,lower-middle,7708.866666666667,2000
Quảng Trị,normal,620596.7333333333,2000
Quảng Trị,upper-middle,36320.666666666664,2000
Sóc Trăng,lower-middle,5547.6,2000
Sóc Trăng,normal,1061235.6666666667,2000
Sóc Trăng,upper-middle,45913.73333333333,2000
Sơn La,extreme poverty,38694.933333333334,2000
Sơn La,lower-middle,58852,2000
Sơn La,normal,946863.2666666667,2000
Sơn La,upper-middle,210595.8,2000
Thanh Hóa,normal,3557610,2000
Thái Bình,normal,1605110.4666666666,2000
Thái Bình,upper-middle,23126.533333333333,2000
Thái Nguyên,lower-middle,1332.8,2000
Thái Nguyên,normal,1251273.2,2000
Thái Nguyên,upper-middle,40402,2000
Thừa Thiên Huế,extreme poverty,2573.0666666666666,2000
Thừa Thiên Huế,lower-middle,8370,2000
Thừa Thiên Huế,normal,1084056.6666666667,2000
Thừa Thiên Huế,upper-middle,42775.26666666666,2000
Tiền Giang,extreme poverty,3950.8,2000
Tiền Giang,lower-middle,8997.066666666666,2000
Tiền Giang,normal,1691910.2666666666,2000
Tiền Giang,upper-middle,59098.86666666667,2000
Trà Vinh,extreme poverty,5096.866666666667,2000
Trà Vinh,lower-middle,1904,2000
Trà Vinh,normal,919546.8,2000
Trà Vinh,upper-middle,49090.333333333336,2000
Tuyên Quang,extreme poverty,3148.4,2000
Tuyên Quang,lower-middle,15381.733333333334,2000
Tuyên Quang,normal,740192,2000
Tuyên Quang,upper-middle,45799.86666666667,2000
Tây Ninh,lower-middle,1294.1333333333334,2000
Tây Ninh,normal,1117035.1333333333,2000
Tây Ninh,upper-middle,11179.733333333334,2000
Vĩnh Long,lower-middle,5035.066666666667,2000
Vĩnh Long,normal,1013347.4666666667,2000
Vĩnh Long,upper-middle,53377.46666666667,2000
Vĩnh Phúc,extreme poverty,3060.0666666666666,2000
Vĩnh Phúc,lower-middle,3641.133333333333,2000
Vĩnh Phúc,normal,1171489.5333333334,2000
Vĩnh Phúc,upper-middle,28403.266666666666,2000
Yên Bái,extreme poverty,2071,2000
Yên Bái,lower-middle,5365.066666666667,2000
Yên Bái,normal,797061.5333333333,2000
Yên Bái,upper-middle,69137.4,2000
Điện Biên,extreme poverty,4834.8,2000
Điện Biên,lower-middle,23163.133333333335,2000
Điện Biên,normal,426046.4666666667,2000
Điện Biên,upper-middle,155661.6,2000
Đà Nẵng,normal,1190414,2000
Đắk Lắk,extreme poverty,4814,2000
Đắk Lắk,lower-middle,25130.666666666664,2000
Đắk Lắk,normal,1633767.8666666667,2000
Đắk Lắk,upper-middle,182733.46666666667,2000
Đắk Nông,extreme poverty,5109.866666666667,2000
Đắk Nông,lower-middle,9717.933333333334,2000
